month,profit_center,region,product_category,line_item_description,year,month_int,quarter,is_qtr_end,revenue
2024-01-01,Service_C,EMEA,Professional Services,Standard Monthly Fee,2024,1,1,0,5426.66
2024-01-01,Service_C,LATAM,Maintenance,Installation Fee,2024,1,1,0,5898.97
2024-01-01,Sales_Channel_X,North America,Maintenance,Cloud Server Unit,2024,1,1,0,6102.9
2024-01-01,Service_C,APAC,Hardware Sales,Cloud Server Unit,2024,1,1,0,3778.29
2024-01-01,Sales_Channel_X,North America,Software Subscription,Legacy Product Support,2024,1,1,0,3334.98
2024-01-01,Product_B,EMEA,Hardware Sales,Annual Premium License,2024,1,1,0,2871.77
2024-01-01,Product_A,North America,Hardware Sales,Standard Monthly Fee,2024,1,1,0,5631.59
2024-01-01,Product_A,APAC,Software Subscription,Cloud Server Unit,2024,1,1,0,3369.38
2024-01-01,Service_C,North America,Professional Services,Annual Premium License,2024,1,1,0,2814.59
2024-01-01,Sales_Channel_X,APAC,Maintenance,Cloud Server Unit,2024,1,1,0,3366.97
2024-01-01,Product_B,LATAM,Maintenance,Annual Premium License,2024,1,1,0,5114.58
2024-01-01,Product_B,APAC,Software Subscription,Consulting Project Alpha,2024,1,1,0,6370.12
2024-01-01,Product_B,North America,Software Subscription,Standard Monthly Fee,2024,1,1,0,6247.34
2024-01-01,Product_B,LATAM,Professional Services,Consulting Project Alpha,2024,1,1,0,3272.73
2024-01-01,Sales_Channel_X,EMEA,Hardware Sales,Installation Fee,2024,1,1,0,8450.15
2024-01-01,Service_C,APAC,Professional Services,Consulting Project Alpha,2024,1,1,0,6176.88
2024-01-01,Product_B,LATAM,Hardware Sales,Standard Monthly Fee,2024,1,1,0,5017.29
2024-01-01,Sales_Channel_X,LATAM,Professional Services,Standard Monthly Fee,2024,1,1,0,6193.25
2024-01-01,Product_A,LATAM,Maintenance,Consulting Project Alpha,2024,1,1,0,5243.43
2024-01-01,Service_C,APAC,Software Subscription,Cloud Server Unit,2024,1,1,0,2664.66
2024-01-01,Product_A,LATAM,Software Subscription,Legacy Product Support,2024,1,1,0,2094.29
2024-01-01,Service_C,North America,Maintenance,Cloud Server Unit,2024,1,1,0,5712.58
2024-01-01,Sales_Channel_X,North America,Software Subscription,Standard Monthly Fee,2024,1,1,0,1949.61
2024-01-01,Product_B,APAC,Professional Services,Legacy Product Support,2024,1,1,0,4252.78
2024-01-01,Sales_Channel_X,APAC,Professional Services,Legacy Product Support,2024,1,1,0,6118.9
2024-01-01,Product_A,North America,Maintenance,Installation Fee,2024,1,1,0,4678.03
2024-01-01,Product_A,LATAM,Maintenance,Standard Monthly Fee,2024,1,1,0,3953.85
2024-01-01,Product_B,EMEA,Hardware Sales,Installation Fee,2024,1,1,0,4470.98
2024-01-01,Service_C,EMEA,Hardware Sales,Standard Monthly Fee,2024,1,1,0,7338.18
2024-01-01,Service_C,LATAM,Hardware Sales,Installation Fee,2024,1,1,0,6881.52
2024-01-01,Product_B,North America,Software Subscription,Cloud Server Unit,2024,1,1,0,4962.77
2024-01-01,Product_B,LATAM,Software Subscription,Installation Fee,2024,1,1,0,6147.76
2024-01-01,Product_B,EMEA,Maintenance,Cloud Server Unit,2024,1,1,0,6087.04
2024-01-01,Product_B,EMEA,Software Subscription,Consulting Project Alpha,2024,1,1,0,3730.01
2024-01-01,Product_B,North America,Maintenance,Standard Monthly Fee,2024,1,1,0,4208.37
2024-01-01,Service_C,North America,Maintenance,Standard Monthly Fee,2024,1,1,0,4882.6
2024-01-01,Product_A,EMEA,Hardware Sales,Installation Fee,2024,1,1,0,2918.82
2024-01-01,Sales_Channel_X,EMEA,Maintenance,Annual Premium License,2024,1,1,0,3820.43
2024-01-01,Product_A,EMEA,Hardware Sales,Installation Fee,2024,1,1,0,3683.11
2024-01-01,Service_C,LATAM,Professional Services,Consulting Project Alpha,2024,1,1,0,4182.05
2024-01-01,Service_C,North America,Hardware Sales,Cloud Server Unit,2024,1,1,0,4615.29
2024-01-01,Service_C,APAC,Professional Services,Installation Fee,2024,1,1,0,6305.59
2024-01-01,Product_A,LATAM,Professional Services,Standard Monthly Fee,2024,1,1,0,1679.71
2024-01-01,Product_B,APAC,Maintenance,Legacy Product Support,2024,1,1,0,4731.02
2024-01-01,Product_B,LATAM,Maintenance,Legacy Product Support,2024,1,1,0,3839.69
2024-01-01,Sales_Channel_X,LATAM,Professional Services,Cloud Server Unit,2024,1,1,0,6239.65
2024-01-01,Service_C,LATAM,Software Subscription,Consulting Project Alpha,2024,1,1,0,5973.5
2024-01-01,Sales_Channel_X,EMEA,Hardware Sales,Consulting Project Alpha,2024,1,1,0,5327.81
2024-01-01,Service_C,LATAM,Software Subscription,Installation Fee,2024,1,1,0,5686.65
2024-01-01,Product_A,APAC,Hardware Sales,Consulting Project Alpha,2024,1,1,0,5958.25
2024-01-01,Service_C,LATAM,Hardware Sales,Standard Monthly Fee,2024,1,1,0,4854.19
2024-01-01,Sales_Channel_X,APAC,Hardware Sales,Consulting Project Alpha,2024,1,1,0,6368.12
2024-01-01,Service_C,North America,Software Subscription,Annual Premium License,2024,1,1,0,4678.53
2024-01-01,Service_C,LATAM,Professional Services,Consulting Project Alpha,2024,1,1,0,5861.91
2024-01-01,Service_C,APAC,Maintenance,Cloud Server Unit,2024,1,1,0,6563.86
2024-01-01,Product_B,North America,Maintenance,Installation Fee,2024,1,1,0,6433.15
2024-01-01,Product_B,North America,Maintenance,Annual Premium License,2024,1,1,0,2860.39
2024-01-01,Product_B,North America,Professional Services,Installation Fee,2024,1,1,0,4383.07
2024-01-01,Product_A,North America,Software Subscription,Annual Premium License,2024,1,1,0,4346.94
2024-01-01,Sales_Channel_X,LATAM,Maintenance,Legacy Product Support,2024,1,1,0,3131.85
2024-01-01,Service_C,LATAM,Software Subscription,Consulting Project Alpha,2024,1,1,0,4339.76
2024-01-01,Sales_Channel_X,LATAM,Hardware Sales,Annual Premium License,2024,1,1,0,5734.13
2024-01-01,Sales_Channel_X,LATAM,Hardware Sales,Cloud Server Unit,2024,1,1,0,6400.18
2024-01-01,Product_B,LATAM,Maintenance,Standard Monthly Fee,2024,1,1,0,6701.59
2024-01-01,Product_B,LATAM,Professional Services,Annual Premium License,2024,1,1,0,5034.43
2024-01-01,Sales_Channel_X,EMEA,Software Subscription,Legacy Product Support,2024,1,1,0,5932.23
2024-01-01,Product_A,LATAM,Hardware Sales,Standard Monthly Fee,2024,1,1,0,3511.4
2024-01-01,Sales_Channel_X,APAC,Hardware Sales,Standard Monthly Fee,2024,1,1,0,6837.42
2024-01-01,Product_A,LATAM,Professional Services,Cloud Server Unit,2024,1,1,0,2964.55
2024-01-01,Product_B,North America,Software Subscription,Standard Monthly Fee,2024,1,1,0,5594.74
2024-01-01,Service_C,APAC,Software Subscription,Standard Monthly Fee,2024,1,1,0,6036.49
2024-01-01,Product_B,EMEA,Maintenance,Standard Monthly Fee,2024,1,1,0,5194.03
2024-01-01,Product_B,North America,Hardware Sales,Cloud Server Unit,2024,1,1,0,6610.46
2024-01-01,Product_A,APAC,Maintenance,Legacy Product Support,2024,1,1,0,2167.05
2024-01-01,Service_C,North America,Software Subscription,Annual Premium License,2024,1,1,0,4865.67
2024-01-01,Sales_Channel_X,EMEA,Maintenance,Legacy Product Support,2024,1,1,0,6870.73
2024-01-01,Sales_Channel_X,North America,Software Subscription,Legacy Product Support,2024,1,1,0,4980.73
2024-01-01,Product_B,LATAM,Professional Services,Annual Premium License,2024,1,1,0,6023.3
2024-01-01,Product_B,EMEA,Professional Services,Standard Monthly Fee,2024,1,1,0,6792.94
2024-01-01,Service_C,North America,Professional Services,Legacy Product Support,2024,1,1,0,8019.47
2024-01-01,Service_C,North America,Maintenance,Standard Monthly Fee,2024,1,1,0,4535.61
2024-01-01,Product_A,North America,Professional Services,Standard Monthly Fee,2024,1,1,0,3523.46
2024-01-01,Product_B,North America,Maintenance,Annual Premium License,2024,1,1,0,2977.8
2024-01-01,Service_C,LATAM,Maintenance,Standard Monthly Fee,2024,1,1,0,4487.93
2024-01-01,Product_B,LATAM,Hardware Sales,Legacy Product Support,2024,1,1,0,7556.1
2024-01-01,Product_A,APAC,Maintenance,Installation Fee,2024,1,1,0,6165.36
2024-01-01,Sales_Channel_X,APAC,Software Subscription,Installation Fee,2024,1,1,0,4219.86
2024-01-01,Sales_Channel_X,North America,Professional Services,Standard Monthly Fee,2024,1,1,0,7877.12
2024-01-01,Service_C,APAC,Professional Services,Cloud Server Unit,2024,1,1,0,6136.53
2024-01-01,Sales_Channel_X,EMEA,Professional Services,Legacy Product Support,2024,1,1,0,3658.27
2024-01-01,Sales_Channel_X,North America,Professional Services,Legacy Product Support,2024,1,1,0,7130.52
2024-01-01,Product_B,APAC,Maintenance,Standard Monthly Fee,2024,1,1,0,4115.32
2024-01-01,Service_C,EMEA,Maintenance,Legacy Product Support,2024,1,1,0,7812.05
2024-01-01,Product_B,LATAM,Software Subscription,Legacy Product Support,2024,1,1,0,1519.84
2024-01-01,Product_A,APAC,Hardware Sales,Legacy Product Support,2024,1,1,0,5939.8
2024-01-01,Sales_Channel_X,North America,Hardware Sales,Annual Premium License,2024,1,1,0,7477.37
2024-01-01,Product_B,North America,Professional Services,Consulting Project Alpha,2024,1,1,0,7438.76
2024-01-01,Sales_Channel_X,APAC,Maintenance,Installation Fee,2024,1,1,0,6043.66
2024-01-01,Product_A,North America,Professional Services,Standard Monthly Fee,2024,1,1,0,5935.66
2024-01-01,Service_C,LATAM,Hardware Sales,Consulting Project Alpha,2024,1,1,0,7295.51
2024-01-01,Service_C,EMEA,Software Subscription,Standard Monthly Fee,2024,1,1,0,5214.55
2024-01-01,Product_A,APAC,Hardware Sales,Installation Fee,2024,1,1,0,5185.38
2024-01-01,Product_A,APAC,Maintenance,Annual Premium License,2024,1,1,0,3870.67
2024-01-01,Service_C,LATAM,Hardware Sales,Annual Premium License,2024,1,1,0,5039.26
2024-01-01,Product_B,APAC,Hardware Sales,Consulting Project Alpha,2024,1,1,0,8085.03
2024-01-01,Product_A,APAC,Hardware Sales,Installation Fee,2024,1,1,0,5714.35
2024-01-01,Service_C,North America,Software Subscription,Installation Fee,2024,1,1,0,6153.13
2024-01-01,Product_B,EMEA,Maintenance,Cloud Server Unit,2024,1,1,0,5087.41
2024-01-01,Sales_Channel_X,EMEA,Software Subscription,Legacy Product Support,2024,1,1,0,6207.96
2024-01-01,Product_A,EMEA,Hardware Sales,Installation Fee,2024,1,1,0,3124.1
2024-01-01,Sales_Channel_X,APAC,Hardware Sales,Cloud Server Unit,2024,1,1,0,4945.67
2024-01-01,Product_B,APAC,Maintenance,Cloud Server Unit,2024,1,1,0,5129.87
2024-01-01,Service_C,APAC,Maintenance,Standard Monthly Fee,2024,1,1,0,4583.91
2024-01-01,Product_A,APAC,Maintenance,Standard Monthly Fee,2024,1,1,0,7580.57
2024-01-01,Sales_Channel_X,APAC,Software Subscription,Annual Premium License,2024,1,1,0,5187.79
2024-01-01,Product_A,APAC,Software Subscription,Installation Fee,2024,1,1,0,6294.0
2024-01-01,Product_B,North America,Maintenance,Consulting Project Alpha,2024,1,1,0,4985.03
2024-01-01,Product_A,APAC,Professional Services,Installation Fee,2024,1,1,0,6327.08
2024-01-01,Product_B,North America,Professional Services,Standard Monthly Fee,2024,1,1,0,3701.82
2024-01-01,Product_B,EMEA,Software Subscription,Legacy Product Support,2024,1,1,0,6247.81
2024-01-01,Sales_Channel_X,APAC,Hardware Sales,Cloud Server Unit,2024,1,1,0,7091.16
2024-01-01,Product_B,APAC,Hardware Sales,Annual Premium License,2024,1,1,0,3916.13
2024-01-01,Product_B,EMEA,Hardware Sales,Standard Monthly Fee,2024,1,1,0,3270.33
2024-01-01,Service_C,EMEA,Maintenance,Installation Fee,2024,1,1,0,4482.22
2024-01-01,Service_C,North America,Hardware Sales,Cloud Server Unit,2024,1,1,0,3882.75
2024-01-01,Service_C,LATAM,Professional Services,Cloud Server Unit,2024,1,1,0,3658.48
2024-01-01,Service_C,EMEA,Maintenance,Consulting Project Alpha,2024,1,1,0,5392.9
2024-01-01,Product_B,North America,Professional Services,Standard Monthly Fee,2024,1,1,0,3377.02
2024-01-01,Product_A,North America,Software Subscription,Annual Premium License,2024,1,1,0,5448.71
2024-01-01,Service_C,LATAM,Maintenance,Legacy Product Support,2024,1,1,0,6213.65
2024-01-01,Product_A,North America,Hardware Sales,Annual Premium License,2024,1,1,0,4160.98
2024-01-01,Service_C,EMEA,Professional Services,Standard Monthly Fee,2024,1,1,0,2703.25
2024-01-01,Product_B,LATAM,Hardware Sales,Standard Monthly Fee,2024,1,1,0,7764.6
2024-01-01,Product_A,LATAM,Hardware Sales,Consulting Project Alpha,2024,1,1,0,4388.07
2024-01-01,Product_B,APAC,Maintenance,Installation Fee,2024,1,1,0,4074.81
2024-01-01,Service_C,LATAM,Software Subscription,Installation Fee,2024,1,1,0,6688.02
2024-01-01,Sales_Channel_X,North America,Software Subscription,Annual Premium License,2024,1,1,0,7111.0
2024-01-01,Product_A,EMEA,Hardware Sales,Legacy Product Support,2024,1,1,0,6138.17
2024-01-01,Sales_Channel_X,LATAM,Software Subscription,Legacy Product Support,2024,1,1,0,5545.04
2024-01-01,Service_C,EMEA,Professional Services,Standard Monthly Fee,2024,1,1,0,3461.29
2024-01-01,Product_B,APAC,Hardware Sales,Annual Premium License,2024,1,1,0,5860.61
2024-01-01,Service_C,EMEA,Software Subscription,Consulting Project Alpha,2024,1,1,0,7061.72
2024-01-01,Product_A,EMEA,Software Subscription,Installation Fee,2024,1,1,0,6945.67
2024-01-01,Service_C,LATAM,Hardware Sales,Installation Fee,2024,1,1,0,6495.45
2024-01-01,Product_B,APAC,Software Subscription,Cloud Server Unit,2024,1,1,0,4207.05
2024-01-01,Product_A,North America,Hardware Sales,Consulting Project Alpha,2024,1,1,0,4730.37
2024-01-01,Service_C,EMEA,Hardware Sales,Consulting Project Alpha,2024,1,1,0,4978.33
2024-01-01,Sales_Channel_X,North America,Hardware Sales,Installation Fee,2024,1,1,0,5780.69
2024-01-01,Product_A,North America,Hardware Sales,Annual Premium License,2024,1,1,0,3963.83
2024-01-01,Product_A,LATAM,Professional Services,Installation Fee,2024,1,1,0,6208.2
2024-01-01,Sales_Channel_X,APAC,Hardware Sales,Legacy Product Support,2024,1,1,0,4763.19
2024-01-01,Product_B,APAC,Hardware Sales,Annual Premium License,2024,1,1,0,6982.19
2024-01-01,Product_A,APAC,Software Subscription,Annual Premium License,2024,1,1,0,5144.55
2024-01-01,Sales_Channel_X,North America,Professional Services,Standard Monthly Fee,2024,1,1,0,6237.77
2024-01-01,Product_B,EMEA,Maintenance,Standard Monthly Fee,2024,1,1,0,5757.62
2024-01-01,Service_C,North America,Professional Services,Consulting Project Alpha,2024,1,1,0,6507.79
2024-01-01,Product_A,North America,Hardware Sales,Standard Monthly Fee,2024,1,1,0,4041.19
2024-01-01,Product_B,North America,Professional Services,Consulting Project Alpha,2024,1,1,0,5177.32
2024-01-01,Product_A,APAC,Maintenance,Legacy Product Support,2024,1,1,0,4322.64
2024-01-01,Product_B,APAC,Software Subscription,Legacy Product Support,2024,1,1,0,6411.65
2024-01-01,Product_B,North America,Software Subscription,Consulting Project Alpha,2024,1,1,0,7005.23
2024-01-01,Product_A,LATAM,Hardware Sales,Cloud Server Unit,2024,1,1,0,5373.44
2024-01-01,Product_B,APAC,Professional Services,Installation Fee,2024,1,1,0,5108.17
2024-01-01,Product_A,EMEA,Maintenance,Annual Premium License,2024,1,1,0,5071.37
2024-01-01,Service_C,EMEA,Professional Services,Standard Monthly Fee,2024,1,1,0,6711.28
2024-01-01,Service_C,LATAM,Maintenance,Installation Fee,2024,1,1,0,3869.56
2024-01-01,Product_B,APAC,Professional Services,Consulting Project Alpha,2024,1,1,0,5453.98
2024-01-01,Product_A,EMEA,Software Subscription,Standard Monthly Fee,2024,1,1,0,2810.49
2024-01-01,Service_C,EMEA,Professional Services,Standard Monthly Fee,2024,1,1,0,4543.63
2024-01-01,Service_C,APAC,Professional Services,Consulting Project Alpha,2024,1,1,0,7311.87
2024-01-01,Service_C,APAC,Professional Services,Consulting Project Alpha,2024,1,1,0,3824.56
2024-01-01,Sales_Channel_X,EMEA,Hardware Sales,Installation Fee,2024,1,1,0,2639.42
2024-01-01,Service_C,North America,Maintenance,Cloud Server Unit,2024,1,1,0,3169.52
2024-01-01,Product_B,EMEA,Maintenance,Installation Fee,2024,1,1,0,4048.83
2024-01-01,Product_A,North America,Hardware Sales,Annual Premium License,2024,1,1,0,3045.72
2024-01-01,Product_B,EMEA,Professional Services,Installation Fee,2024,1,1,0,6433.18
2024-01-01,Product_B,EMEA,Maintenance,Cloud Server Unit,2024,1,1,0,5592.6
2024-01-01,Product_A,North America,Professional Services,Standard Monthly Fee,2024,1,1,0,5817.18
2024-01-01,Product_A,EMEA,Software Subscription,Legacy Product Support,2024,1,1,0,3344.31
2024-01-01,Service_C,North America,Software Subscription,Legacy Product Support,2024,1,1,0,6407.86
2024-01-01,Product_B,North America,Professional Services,Legacy Product Support,2024,1,1,0,3762.5
2024-01-01,Service_C,North America,Maintenance,Annual Premium License,2024,1,1,0,3561.02
2024-01-01,Sales_Channel_X,North America,Software Subscription,Legacy Product Support,2024,1,1,0,4189.28
2024-01-01,Sales_Channel_X,North America,Professional Services,Annual Premium License,2024,1,1,0,805.87
2024-01-01,Service_C,APAC,Maintenance,Standard Monthly Fee,2024,1,1,0,7665.31
2024-01-01,Service_C,APAC,Maintenance,Installation Fee,2024,1,1,0,5607.38
2024-01-01,Product_A,North America,Professional Services,Consulting Project Alpha,2024,1,1,0,6736.96
2024-01-01,Service_C,North America,Hardware Sales,Installation Fee,2024,1,1,0,4877.5
2024-01-01,Service_C,North America,Software Subscription,Standard Monthly Fee,2024,1,1,0,5228.12
2024-01-01,Service_C,North America,Professional Services,Standard Monthly Fee,2024,1,1,0,4051.16
2024-01-01,Product_A,LATAM,Hardware Sales,Cloud Server Unit,2024,1,1,0,5855.89
2024-01-01,Sales_Channel_X,LATAM,Hardware Sales,Installation Fee,2024,1,1,0,7467.38
2024-01-01,Service_C,EMEA,Professional Services,Consulting Project Alpha,2024,1,1,0,4974.74
2024-01-01,Sales_Channel_X,EMEA,Hardware Sales,Annual Premium License,2024,1,1,0,3664.38
2024-01-01,Product_B,LATAM,Maintenance,Consulting Project Alpha,2024,1,1,0,4285.4
2024-01-01,Sales_Channel_X,APAC,Maintenance,Consulting Project Alpha,2024,1,1,0,4768.9
2024-01-01,Product_A,LATAM,Maintenance,Standard Monthly Fee,2024,1,1,0,6240.3
2024-01-01,Product_B,APAC,Maintenance,Legacy Product Support,2024,1,1,0,1970.47
2024-01-01,Sales_Channel_X,LATAM,Software Subscription,Annual Premium License,2024,1,1,0,6013.38
2024-01-01,Product_A,APAC,Software Subscription,Standard Monthly Fee,2024,1,1,0,5732.25
2024-01-01,Service_C,APAC,Software Subscription,Installation Fee,2024,1,1,0,7006.77
2024-01-01,Product_A,North America,Hardware Sales,Legacy Product Support,2024,1,1,0,4166.93
